1,4
2,2
3,1
4,3
5,4
6,2
7,1
8,3
9,4
10,2
11,1
12,3
13,4
14,2
15,1
16,3
17,4
18,2
19,1
20,3
21,4
22,2
23,1
24,3
25,4
26,2
27,1
28,3
29,4
30,2
31,1
32,3
33,4
34,2
35,1
36,3
37,4
38,2
39,1
40,3
41,4
42,2
43,1
44,3
45,4
46,2
47,1
48,3
49,4
50,2
51,1
52,3
53,4
54,2
55,1
56,3
57,4
58,2
59,1
60,3
61,4
62,2
63,1
64,3
65,4
66,2
67,1
68,3
69,4
70,2
71,1
72,3
73,4
74,2
75,1
76,3
77,4
78,2
79,1
80,3
81,4
82,2
83,1
84,3
85,4
86,2
87,1
88,3
89,4
90,2
91,1
92,3
93,4
94,2
95,1
96,3
97,4
98,2
99,1
100,3
101,4
102,2
103,1
104,3
105,4
106,2
107,1
108,3
109,4
110,2
111,1
112,3
113,4
114,2
115,1
116,3
117,4
118,2
119,1
120,3
121,4
122,2
123,1
124,3
125,4
126,2
127,1
128,3
129,4
130,2
131,1
132,3
133,4
134,2
135,1
136,3
137,4
138,2
139,1
140,3
141,4
142,2
143,1
144,3
145,4
146,2
147,1
148,3
149,4
150,2
151,1
152,3
153,4
154,2
155,1
156,3
157,4
158,2
159,1
160,3
161,4
162,2
163,1
164,3
165,4
166,2
167,1
168,3
169,4
170,2
171,1
172,3
173,4
174,2
175,1
176,3
177,4
178,2
179,1
180,3
181,4
182,2
183,1
184,3
185,4
186,2
187,1
188,3
189,4
190,2
191,1
192,3
193,4
194,2
195,1
196,3
197,4
198,2
199,1
200,3
201,4
202,2
203,1
204,3
205,4
206,2
207,1
208,3
209,4
210,2
211,1
212,3
213,4
214,2
215,1
216,3
217,4
218,2
219,1
220,3
221,4
222,2
223,1
224,3
225,4
226,2
227,1
228,3
229,4
230,2
231,1
232,3
233,4
234,2
235,1
236,3
237,4
238,2
239,1
240,3
241,4
242,2
243,1
244,3
245,4
246,2
247,1
248,3
249,4
250,2
251,1
252,3
253,4
254,2
255,1
256,3
257,4
258,2
259,1
260,3
261,4
262,2
263,1
264,3
265,4
266,2
267,1
268,3
269,4
270,2
271,1
272,3
273,4
274,2
275,1
276,3
277,4
278,2
279,1
280,3
281,4
282,2
283,1
284,3
285,4
286,2
287,1
288,3
289,4
290,2
291,1
292,3
293,4
294,2
295,1
296,3
297,4
298,2
299,1
300,3
301,4
302,2
303,1
304,3
305,4
306,2
307,1
308,3
309,4
310,2
311,1
312,3
313,4
314,2
315,1
316,3
317,4
318,2
319,1
320,3
321,4
322,2
323,1
324,3
325,4
326,2
327,1
328,3
329,4
330,2
331,1
332,3
333,4
334,2
335,1
336,3
337,4
338,2
339,1
340,3
341,4
342,2
343,1
344,3
345,4
346,2
347,1
348,3
349,4
350,2
351,1
352,3
353,4
354,2
355,1
356,3
357,4
358,2
359,1
360,3
361,4
362,2
363,1
364,3
365,4
366,2
367,1
368,3
369,4
370,2
371,1
372,3
373,4
374,2
375,1
376,3
377,4
378,2
379,1
380,3
381,4
382,2
383,1
384,3
385,4
386,2
387,1
388,3
389,4
390,2
391,1
392,3
393,4
394,2
395,1
396,3
397,4
398,2
399,1
400,3
